transaction_hash,num_unique_input_addresses,total_input,transaction_fee
4a0a5b6036c0da84c3eb9c2a884b6ad72416d1758470e19fb1d2fa2a145b5601,4,180264000000,0
124d6e9e56fe75123dc626c92bb67836a5a902f9886517f49d05d184936c3197,1,2682500000,0
b0b36725de806984cd02e83973bf89ec2e0f576d43cb949a75d62887b605e5ff,1,198000000,50000
7d585630e9af43702a0366cdc1746085c4f9a0156cc0786055591b77ffbecdf8,2,600000000,0
d3032953f18e3d784eff9ddb9b0740577525af80c1eb4ee75957022d42d113a6,1,20803935323,50000
6e5898616bbdfd3260e98e7de00957b137d0c59af3f8c7f64acbee49a52e40c1,1,98000000,0
40ccacc9113d4e98ab157d4bfde5dba40162034af890a68a6019e016db0b75cb,1,3914000000,50000
4e68351f7be181f85ff1b2ede53f387f93d0f60948a21ad906462bbe92400f2e,1,2557000000,0
c482c4244ca4ac46b037b40916cc70576dca8fb9b07f39371f33b2ebea555b36,1,150000000,0
f4d058ce9c2e9fa20b8e6e57b3e16e91f58af84a45ca8a46ce4e674ac0644a52,1,6155716865,50000
a10db60769f73b0bc01cb2605406f0ea1ebed6ab0992c95072abd41460b9ea35,4,64977902988,0
dbab533066e97ef632423f03bc4a80fbdd834ef89e7a13ab0bcaa172f4516fd2,2,6123646945,0
03115ac1f127707b047e754a88e29b5160822f6308950338d3920fb5d4e3cad4,1,3033482404,0
de739f11e9325c0302340d82e01607a4fae90c2ceaa271cf2309ef5feb1adfbc,1,3978660000,50000
cb048779cc61e0e1ced7ae6f0ae923666c1cccd9aba9ab78c0232c74d293351f,1,249010850000,50000
b21275d676060193c08cb978a239ce2be95cef0135779289577842ef1f1e0e5e,1,1000000000,0
0ec9e6461d9e249fb0aa8dd0ccf2d5b789b1c24dc1ed7e8ee06d81d89a3862f9,1,9564350000,50000
c13fd8c9d6d3b2fcee0aadb134ba2589978c2d1f0f1e607d00a3c51f44fe0831,1,275680394799,50000
7a6fda627dabef6ce7951db7bdd96649814da403b5c559afe2832320cf659954,3,1400896041,300000
e1aa9aaa7ba777cf364d77f6f061ce93f2720c1e84549a31f65f3bca4fe20206,1,1850000000,0
0a89eca023d1a7748d8cab0119b5fb30c8b8eab955212491758ad91247181494,9,3999950000,50000
c37898402e066ef43d8c5010f80369c0a4947cfbb503817403cd1f5aa357d549,1,5345749935,50000
b573933cd0f223dc3dee0ce0d11e11a7d7a46af1f28e999c867e4939ca9a852d,3,5502000000,0
5b25d747f443378a60460abd4f04f53ab435c8a6c04d3715ae54363a9401530b,1,4655810415,50000
0a2b5b32eb2f99e13f571b99b1735f6cbb0c328f51a86936a0dbd36141fe0894,1,1687606171,50000
81698fd33605fa3626f0d41c62c63e20a069b8228db77c69ca47e67e3f5d94d9,3,10135279024,0
ab464b55ab030eabe41da7176fab709b8c9d4a6a9538c9cd8340e53dffca0205,1,1998110000,50000
35274ab0c6673245b88e5f823cc146ffbc4d6472619cf67288ffa1480476d774,1,76900000,100000
a473b5ced6a037b381768729ce38960ae49c468389c8300ef83bbc7fd2099d0c,1,260680000,50000
f462cfc2464a44b55dd268a8ac3ace198644b38e3102f2403d23f9b5c3dba108,2,4538983667,10000
bb53850975e7611141998c8250a54f34b2302075cad5f27a28902b5b018b0bde,4,9269082863,0
e1a81b31bd013fccd7580d25b05819d5ed40de0638d53aa232b2adb8eb1a7350,1,844674552,0
92e827eaf2d7801e0d57a7786c962e34fe507272c7675625e4f6cc2d55036d67,1,83453800020,50000
f51fc1d668a305d0ef0ab940039c8b903a228d547098fab63a12923c904f3ac9,1,1194286653,50000
9749f81373d6620035bf526d63b0af7f78c1481703779c6328c42ea37d2f80d2,1,15600000000,50000
c9141f37d747075aa999f9f0d78ca7d72020945d2c722e9ef015a361a2cd15e9,1,7302560000,50000
85b2fb7c05e4aa8904e80f7062821dbe7f3d55741e87bb734e367e6f6890622f,1,1435759903,50000
c72dc90761d31d6f52a54f25877607b447e075624d32cf7f4152698ea22c9ff7,2,51142413,0
a1691bb9b99ef92252a46febadbfb6bf5d0fafa391df39be8d202addd065d2d0,1,1391525285,50000
b1c5cc2d264c6c2b0a72beb43d3f82505e74111d3022f4dd07aadd4d8d7793bf,1,498820000,50000
36d0d70106524a26c65985383847bff30e2a814ebdf69557f4d74aa9508c9eaf,1,705388631,10000
16bb76bb696359dedfcba51a86f056b31e8f23b233776c838d71bee7f9e81fbf,1,168070000,0
ad40b114119e3d2d0897fcf2578c0510f4005a70abec798cd5cc0833dd67c9ad,1,2510590000,0
2b78f07bfa7459f410efecd0c97d8998076d2203b1af556a0e433c011562f3ca,1,1878751382,50000
874e892744e45bb3aa1191f87c70cff59cf9c02536d2e265e3120ffd4b97ea93,4,6083529176,0
319ea0f589e9d61951ac19f1ae825444efe38a66acea97ca4c8e6df497b64d1c,1,2500000000,100000
30807003e55059f3b23a52c3299e60c14784b7a18f76e7a47f947732092f9cb2,1,1398447836,50000
e95ead97309867447b199330966f9310b20bcc42eb72976a7e8772eefe876d06,1,516329160,10000
b5084b1edf4044604cd61912953d8f7a220607b5da61f925d3a3145cf16695d4,1,6326823059,50000
70815d9496927974b854aa0fc3d3a0676a6496162f0b2b091ae40e1e849dbedb,2,14612749111,50000
1af427e9cbe2bc3b6c4161121a6571490a17ec837cec545e51653504f28bcaa3,1,296450000,0
7193e8efe65594244b55f2f0d2db8f5f5df0274f6bc46c0e5bf76011a3808b58,1,10000000,0
c5764b97f9d172311b79809337e6b3a3da2d556991004ecb9c59001d54751b1b,1,355670000,50000
1ddc7ac6cd2c34f38b14ed6fe514a367cd172a9b650d837c2fb794b2855e77d5,1,504987320,50000
d5b3276956684af108a3b6381eb167d696c3345858e057b750bd0f946fabb55c,1,551900000,100000
8013447a913a43fe5fe676f9400016ee4dd9f8138536584172dc78e3276839c5,2,2478095868,50000
