transaction_hash,num_unique_input_addresses,total_input,transaction_fee
ec05c8f1c93952bea9855cbb2515100b897f3b4d49c69845c9cb079a8449cc14,1,13200000000,0
c7b5eabf94f3f3e583e6280d98870fffafefe71d3aa3aafa19c218459edb8320,3,4000000000,0
9801db1843f8eca9c6cceb19d0fe80d462fcf68aa1338e56b485dd53ec718d6b,1,3433135190,0
b59fa7c4b91ff9e325ac0d826706cb24b899974191961f31a4db71690cd8a61c,1,12961730000,0
62c45138d69e83b4009798bb60953e80c9fe5e0c010c217c49727d966dc3ea48,2,2001900000,300000
b23dc2968b53b1016fffc07faa1128d31dd4e5c7f471f1dace54600bc874db2f,1,8000000000,0
cd80b5f4d2d5898f5a23e25d20bdc1b8a2e732887ff4cb01ce92f29278d65dfb,1,3301075669,0
9cca0040f588212ea37ec2356da7f0db93075304873bf713681ef5db8d84f293,1,2651925353,0
ba985a2871d0c51f422968446c2cf2e6ad0578afce534ae71795a557a2e57e1d,3,5028500323,0
f17ed8432ea4ce725e5da7bd2192280ca258206051711053da67264fde1cdf62,2,3034146890,30000
b5ab4db915f23ecdd109afb2ccc52bb4f3b115096e75374ccd1d8f22f2b94098,1,502302323,0
258cc1b2a80df6e252a27a0379f3b52cbd794f77bb397c17d2c70ce0da27f73f,1,3601805737,50000
ab4ab3190986af9022f5a2ecc1ec00bef6aedb97bf067738d7a27052791ca85e,2,5863626008,30000
ccb18a331ab43f2305c99b091a7dd9bd9f546e2a905498a3bd8822a8535c1cc8,1,4999000000,30000
5900a3da8705b94c6dfafe64bb3790b700e4654ad557487725c48bf20b2da151,1,3114202621,50000
43d964447b8281e3a1eefc6ce2469d033c99dfcbe1cf56c317338b9e0d57a4be,1,5130370867,30000
a55608f96949e083914a942cbf58032e36f87cae913309b8a52ce0fb0e448c36,1,13036306054,100000
a9ceb8eb1e6f2f20eace2a37c422746b1f31cc6c39b1cdcddcb8e4a9be748c3f,1,1919076469,50000
13bd638195722098ae96b93234a3e1913ad22a2819bee54c033c8f185d2c14c3,1,8541203186,0
d9f4904712448dbfa0173421532906a4bccd4e177f8689d96c9f98e566522ca3,1,2097950000,50000
6bebd92ac4c4207b6146a6c183c86ddfa01f003bca4b6fe69c455dd673dd7ae8,4,5027595613,50000
175ecd53c259f898e550b1904f4f3782f4b4f161e46c7a9c047e6ef0996ebd56,5,4980716364,200000
6c81552bd1787d1c499d4d8ba24878019065718ee4ef47130c93691c0a202a38,2,302211912,0
4412a890bec661055c4660d8a77212fd8cfb0ee93e0e5461704a4b5bc2e0aea5,1,2798071888,50000
6f229892f23f0d12ac5e83868f3307ad9175382090982f0204e6dd47a9e5ebc0,1,1149514010,0
275773a4fc2b2114398864350d270eba1023a0d55971de37c7cfe106453ccdb9,1,50467042,0
a5f7fb61d9b7682b2f89f4e3bda89a7b3633f53dd889fb467ee7050350bdd875,1,822197343,0
00efc7822eb1c14c581637a6bd6d88bd338e3bcec44a61989e416ab1f84fe0bb,1,11000000000,50000
e5a6936499c10ee91c34ef229331a0e39d728cd752de4d80b2d9f90fc1b3c5f0,6,15483509941,50000
3c560d1856363bc1efcfbae3f413b778e85b145882f399441f18b7cc6d15b8ad,1,500000000,0
f4fa1a8ed5b7d37d88ba0012ad1745f51cbefc9a24d00a7e14e7114d6c2d2f40,1,19447700000,50000
956022e71557208f06a26781d34c13926ddf896556308f88384fcd5ed8b9db86,1,4778002228,30000
49ae4e59ccb2fe890ae0fb6bed0abd799ae31d474a6c5ccd30e694a603de4018,2,3451272890,20000
0ba625ef05fe3da24e90aace27d0d20cc5268521487c9c2be431c9c6edf5202d,1,1724100000,50000
27d3bd463fd49cc73bc1436beb8d5532677d2ead4201ccf3fd6226ed32164674,1,818124090,0
47e893a6ef909e1119c300ff42605de15275e3f9df2860fc6db18b15f1674459,4,7246273121,0
62a668b76a3133774bf1e44ac22eb986cabebfdac33307d53273fe767a3d0901,3,10147052662,0
6614a2168e0db0b0d2a4a74d4fd11ff6e9d6c84e19dd47c118c17b532515749d,3,5665578248,50000
82bf9b845a12536d978e3c896d2e50748bc6899015f9f02f7fa78f6b919a67f5,1,265183000,0
fed2229c82c682a1bc57aeb5d2f1631bfa7da52342118a797fd02c52ea3d7fff,1,993900000,50000
782a786d7dcf302d9e88024e154ade9ccff521682d5b6898dc60c7ad4cae1121,3,970951135,50000
d45f2b06a9ba4c47c683d38f25d44f63f0fac0963ec2220e74ef749f35a097b5,5,10975882607,50000
